date,prevclose,open,high,low,close,volume,amount,is_realtime
2021-06-01,,0.996,0.999,0.987,0.998,18237100,18111172,False
2021-06-02,,0.997,0.999,0.989,0.991,26477700,26333337,False
2021-06-03,,0.99,0.998,0.99,0.991,15759000,15660066,False
2021-06-04,,0.988,1.001,0.985,0.994,28589800,28325275,False
2021-06-07,,0.992,0.994,0.989,0.994,18710100,18541568,False
2021-06-08,,0.992,0.999,0.984,0.989,29297500,29001238,False
2021-06-09,,0.989,0.993,0.986,0.991,10933300,10823967,False
2021-06-10,,0.991,1.0,0.99,0.995,23440800,23352513,False
2021-06-11,,0.995,0.997,0.988,0.989,20328300,20139762,False
2021-06-15,,0.989,0.989,0.976,0.977,25026900,24515972,False
2021-06-16,,0.977,0.978,0.969,0.971,21966900,21349563,False
2021-06-17,,0.97,0.972,0.967,0.97,20598700,19973386,False
2021-06-18,,0.97,0.971,0.961,0.969,32436200,31354208,False
2021-06-21,,0.964,0.969,0.96,0.964,27712200,26698993,False
2021-06-22,,0.965,0.971,0.964,0.97,35422200,34289114,False
2021-06-23,,0.97,0.975,0.968,0.972,30647900,29793814,False
2021-06-24,,0.972,0.975,0.969,0.974,20402300,19851519,False
2021-06-25,,0.974,0.99,0.974,0.988,28382200,27870504,False
2021-06-28,,0.988,0.989,0.982,0.985,17766100,17492392,False
2021-06-29,,0.984,0.984,0.976,0.976,13840900,13557993,False
2021-06-30,,0.977,0.983,0.974,0.983,22914600,22422690,False
2021-07-01,,0.982,0.985,0.975,0.977,21053400,20634865,False
2021-07-02,,0.976,0.976,0.961,0.962,23898800,23099109,False
2021-07-05,,0.962,0.966,0.96,0.966,16272100,15669774,False
2021-07-06,,0.966,0.973,0.963,0.973,18363100,17779715,False
2021-07-07,,0.972,0.976,0.967,0.975,19091100,18564535,False
2021-07-08,,0.975,0.976,0.967,0.967,21582500,20919521,False
2021-07-09,,0.963,0.97,0.96,0.97,23161400,22348630,False
2021-07-12,,0.974,0.98,0.97,0.973,25560900,24927292,False
2021-07-13,,0.973,0.979,0.971,0.978,20414600,19928477,False
2021-07-14,,0.977,0.977,0.966,0.969,17531800,16996280,False
2021-07-15,,0.968,0.979,0.964,0.977,20700200,20120313,False
2021-07-16,,0.976,0.978,0.972,0.975,13454400,13115762,False
2021-07-19,,0.972,0.977,0.965,0.976,19119100,18562696,False
2021-07-20,,0.969,0.975,0.969,0.973,10528900,10233878,False
2021-07-21,,0.973,0.983,0.973,0.979,21092100,20655446,False
2021-07-22,,0.979,0.986,0.978,0.986,18959100,18657953,False
2021-07-23,,0.986,0.987,0.98,0.984,19953500,19604475,False
2021-07-26,,0.983,0.983,0.948,0.96,50458600,48624242,False
2021-07-27,,0.958,0.963,0.936,0.94,49251100,46817459,False
2021-07-28,,0.939,0.944,0.919,0.932,54373900,50400074,False
2021-07-29,,0.936,0.942,0.933,0.939,42355300,39722994,False
2021-07-30,,0.938,0.939,0.929,0.937,20610800,19218267,False
2021-08-02,,0.93,0.958,0.928,0.958,39394200,37263141,False
2021-08-03,,0.951,0.959,0.949,0.952,17736200,16904723,False
2021-08-04,,0.952,0.958,0.949,0.956,16646000,15901251,False
2021-08-05,,0.956,0.961,0.951,0.954,20863800,19961471,False
2021-08-06,,0.954,0.954,0.949,0.953,13662500,12998828,False
2021-08-09,,0.95,0.968,0.95,0.966,24475800,23562984,False
2021-08-10,,0.964,0.977,0.961,0.977,28702600,27817049,False
2021-08-11,,0.975,0.981,0.972,0.975,12241400,11968385,False
2021-08-12,,0.974,0.978,0.972,0.973,9143900,8909762,False
2021-08-13,,0.974,0.979,0.969,0.973,11221300,10918789,False
2021-08-16,,0.972,0.982,0.972,0.976,15961200,15612099,False
2021-08-17,,0.976,0.982,0.957,0.962,21844000,21160132,False
2021-08-18,,0.962,0.971,0.955,0.97,15471400,14920379,False
2021-08-19,,0.964,0.968,0.958,0.963,14671200,14120929,False
2021-08-20,,0.963,0.963,0.945,0.955,34037400,32391102,False
2021-08-23,,0.955,0.965,0.954,0.964,25928500,24923428,False
2021-08-24,,0.963,0.977,0.963,0.975,29690190,28858348,False
2021-08-25,,0.975,0.98,0.971,0.979,14954500,14593920,False
2021-08-26,,0.974,0.976,0.966,0.969,9592090,9314147,False
2021-08-27,,0.969,0.98,0.966,0.979,12062500,11766058,False
2021-08-30,,0.98,0.987,0.977,0.985,15267800,15007547,False
2021-08-31,,0.984,0.989,0.975,0.989,16391033,16096757,False
2021-09-01,,0.986,1.004,0.984,1.0,26518567,26369549,False
2021-09-02,,1.003,1.013,0.998,1.013,26666400,26803280,False
2021-09-03,,1.011,1.021,1.004,1.009,32248200,32605286,False
2021-09-06,,1.009,1.02,1.008,1.02,19279500,19583357,False
2021-09-07,,1.022,1.037,1.016,1.036,25996665,26670307,False
2021-09-08,,1.035,1.041,1.028,1.032,28700200,29671871,False
2021-09-09,,1.027,1.04,1.026,1.04,18833400,19445123,False
2021-09-10,,1.04,1.052,1.035,1.042,23920000,24984073,False
2021-09-13,,1.043,1.048,1.036,1.047,18295800,19094705,False
2021-09-14,,1.047,1.05,1.03,1.035,37584000,39032918,False
2021-09-15,,1.031,1.035,1.023,1.029,26439000,27194161,False
2021-09-16,,1.027,1.035,1.018,1.02,33753500,34609594,False
2021-09-17,,1.019,1.022,1.006,1.018,42400000,43008695,False
2021-09-22,,1.007,1.022,1.005,1.022,30295900,30703888,False
2021-09-23,,1.023,1.033,1.021,1.026,32612300,33498812,False
2021-09-24,,1.024,1.026,1.012,1.014,24083200,24543213,False
2021-09-27,,1.014,1.021,1.004,1.013,35000900,35385113,False
2021-09-28,,1.012,1.02,1.008,1.019,30870300,31293684,False
2021-09-29,,1.012,1.012,0.996,1.005,96100800,96432847,False
2021-09-30,,1.005,1.007,0.999,1.005,44539200,44671587,False
2021-10-08,,1.015,1.019,1.007,1.016,57231300,58086615,False
2021-10-11,,1.016,1.022,1.015,1.019,40238600,41028133,False
2021-10-12,,1.018,1.018,1.0,1.012,64897200,65409684,False
2021-10-13,,1.011,1.013,0.999,1.012,56028200,56353498,False
2021-10-14,,1.007,1.01,1.003,1.006,27662600,27829883,False
2021-10-15,,1.005,1.011,1.001,1.01,39386600,39694619,False
2021-10-18,,1.01,1.01,1.001,1.007,28884100,28996891,False
2021-10-19,,1.005,1.013,1.003,1.01,35622700,35975293,False
2021-10-20,,1.01,1.011,1.006,1.009,19319500,19475214,False
2021-10-21,,1.009,1.019,1.008,1.014,40907900,41451358,False
2021-10-22,,1.012,1.019,1.01,1.013,20766600,21054969,False
2021-10-25,,1.01,1.02,1.007,1.02,30267500,30704707,False
2021-10-26,,1.02,1.023,1.014,1.017,23230700,23657117,False
2021-10-27,,1.015,1.016,1.002,1.003,45039800,45321678,False
2021-10-28,,1.003,1.003,0.988,0.993,83982900,83459274,False
2021-10-29,,0.993,0.996,0.987,0.995,66590600,65983170,False
2021-11-01,,0.989,0.998,0.985,0.994,54463400,54086664,False
2021-11-02,,0.994,0.997,0.975,0.982,71456300,70368907,False
2021-11-03,,0.981,0.983,0.976,0.98,36854400,36085912,False
2021-11-04,,0.982,0.987,0.979,0.986,47489700,46692877,False
2021-11-05,,0.983,0.986,0.977,0.977,43825200,43003817,False
2021-11-08,,0.976,0.979,0.973,0.977,23440100,22887911,False
2021-11-09,,0.977,0.982,0.974,0.98,23817900,23303665,False
2021-11-10,,0.979,0.98,0.964,0.978,67793300,65818384,False
2021-11-11,,0.975,0.987,0.972,0.986,61760500,60597989,False
2021-11-12,,0.986,0.99,0.984,0.988,34406200,33963475,False
2021-11-15,,0.99,0.993,0.984,0.989,23335500,23068235,False
2021-11-16,,0.989,0.991,0.98,0.982,27999300,27581182,False
2021-11-17,,0.982,0.985,0.98,0.983,17173300,16877948,False
2021-11-18,,0.981,0.985,0.978,0.982,22116800,21697317,False
2021-11-19,,0.98,0.993,0.979,0.993,36654500,36225530,False
2021-11-22,,0.993,1.0,0.989,0.998,40280000,40157506,False
2021-11-23,,0.998,1.004,0.994,1.0,47907000,47971631,False
2021-11-24,,1.0,1.005,0.997,1.002,26816000,26850004,False
2021-11-25,,1.002,1.004,1.0,1.001,10135600,10146478,False
2021-11-26,,1.0,1.0,0.992,0.997,47644700,47454890,False
2021-11-29,,0.99,0.994,0.988,0.993,35242700,34925807,False
2021-11-30,,0.994,0.999,0.991,0.994,29245000,29108288,False
2021-12-01,,0.993,0.999,0.992,0.999,17851500,17776299,False
2021-12-02,,0.998,1.001,0.995,0.998,27687000,27644891,False
2021-12-03,,0.998,1.009,0.997,1.008,64151000,64359745,False
2021-12-06,,1.01,1.014,1.003,1.005,29549200,29831266,False
2021-12-07,,1.006,1.011,0.999,1.005,33805700,33913795,False
2021-12-08,,1.006,1.017,1.003,1.017,37990900,38382334,False
2021-12-09,,1.015,1.03,1.015,1.024,41094600,42045379,False
2021-12-10,,1.022,1.022,1.018,1.021,22009300,22452116,False
2021-12-13,,1.024,1.033,1.022,1.025,30695700,31555507,False
2021-12-14,,1.024,1.024,1.018,1.02,17498900,17843559,False
2021-12-15,,1.021,1.023,1.017,1.017,17569000,17914386,False
2021-12-16,,1.019,1.027,1.017,1.026,25188700,25730152,False
2021-12-17,,1.026,1.027,1.015,1.016,38493400,39223504,False
2021-12-20,,1.012,1.018,1.003,1.005,75411160,75987674,False
2021-12-21,,1.002,1.012,1.002,1.011,43444700,43765298,False
2021-12-22,,1.011,1.013,1.009,1.01,18043300,18235858,False
2021-12-23,,1.01,1.019,1.008,1.019,38388460,38918224,False
2021-12-24,,1.019,1.022,1.011,1.013,23736000,24099343,False
2021-12-27,,1.015,1.017,1.009,1.012,30290500,30667324,False
2021-12-28,,1.012,1.015,1.01,1.014,22829100,23111260,False
2021-12-29,,1.015,1.015,1.006,1.006,34678400,34983970,False
2021-12-30,,1.006,1.015,1.005,1.013,38790800,39255543,False
2021-12-31,,1.014,1.022,1.013,1.02,36982300,37651830,False
2022-01-04,,1.021,1.022,1.012,1.02,43408500,44124336,False
2022-01-05,,1.017,1.021,1.008,1.014,48299600,48913665,False
2022-01-06,,1.01,1.011,1.002,1.011,53379300,53680445,False
2022-01-07,,1.01,1.015,1.007,1.01,42845000,43334623,False
2022-01-10,,1.01,1.014,1.004,1.012,126064800,127350713,False
2022-01-11,,1.013,1.014,1.005,1.006,42889800,43282125,False
2022-01-12,,1.008,1.015,1.007,1.013,31908100,32270593,False
2022-01-13,,1.013,1.016,1.004,1.005,40431400,40791401,False
