date,open,high,low,close,volume,amount,is_realtime
2021-05-24,1.471,1.485,1.471,1.481,585000.0,867034.0,False
2021-05-25,1.482,1.505,1.482,1.503,609700.0,909752.0,False
2021-05-26,1.511,1.518,1.509,1.511,1663700.0,2518253.0,False
2021-05-27,1.511,1.521,1.509,1.521,1126300.0,1705965.0,False
2021-05-28,1.526,1.538,1.525,1.528,1580900.0,2422640.0,False
2021-05-31,1.526,1.537,1.518,1.537,4460600.0,6816529.0,False
2021-06-01,1.537,1.539,1.518,1.537,929200.0,1422539.0,False
2021-06-02,1.534,1.542,1.53,1.54,457900.0,702758.0,False
2021-06-03,1.54,1.55,1.536,1.536,319900.0,493960.0,False
2021-06-04,1.524,1.547,1.521,1.533,739900.0,1133208.0,False
2021-06-07,1.533,1.533,1.513,1.517,274300.0,416777.0,False
2021-06-08,1.52,1.523,1.513,1.522,2507700.0,3798698.0,False
2021-06-09,1.522,1.531,1.518,1.524,134000.0,204332.0,False
2021-06-10,1.522,1.53,1.519,1.524,70700.0,107759.0,False
2021-06-11,1.524,1.529,1.519,1.52,773600.0,1181312.0,False
2021-06-15,1.526,1.526,1.499,1.503,217800.0,328905.0,False
2021-06-16,1.503,1.514,1.497,1.502,152800.0,229411.0,False
2021-06-17,1.502,1.514,1.497,1.501,260500.0,391833.0,False
2021-06-18,1.501,1.501,1.488,1.494,222300.0,332039.0,False
2021-06-21,1.468,1.499,1.468,1.491,539600.0,804034.0,False
2021-06-22,1.491,1.505,1.491,1.499,357800.0,536102.0,False
2021-06-23,1.5,1.522,1.494,1.517,2458700.0,3708462.0,False
2021-06-24,1.515,1.525,1.508,1.517,2953300.0,4473687.0,False
2021-06-25,1.513,1.52,1.509,1.517,6274700.0,9499366.0,False
2021-06-28,1.517,1.517,1.494,1.496,1969200.0,2948012.0,False
2021-06-29,1.496,1.499,1.482,1.492,1184700.0,1768867.0,False
2021-06-30,1.492,1.499,1.49,1.499,1457600.0,2181040.0,False
2021-07-01,1.499,1.527,1.498,1.513,351200.0,532459.0,False
2021-07-02,1.513,1.588,1.492,1.495,744800.0,1140722.0,False
2021-07-05,1.496,1.496,1.483,1.489,385700.0,573108.0,False
2021-07-06,1.489,1.497,1.488,1.494,1674400.0,2501087.0,False
2021-07-07,1.494,1.498,1.486,1.49,1558200.0,2320629.0,False
2021-07-08,1.49,1.49,1.467,1.467,555700.0,816247.0,False
2021-07-09,1.467,1.482,1.465,1.478,166000.0,244122.0,False
2021-07-12,1.482,1.488,1.47,1.472,2340900.0,3445559.0,False
2021-07-13,1.472,1.479,1.465,1.479,3241300.0,4773474.0,False
2021-07-14,1.478,1.495,1.478,1.491,2657700.0,3938913.0,False
2021-07-15,1.482,1.49,1.474,1.489,1322700.0,1968559.0,False
2021-07-16,1.489,1.506,1.489,1.498,1289800.0,1934438.0,False
2021-07-19,1.53,1.53,1.496,1.502,1652600.0,2477775.0,False
2021-07-20,1.502,1.502,1.489,1.497,1963000.0,2930949.0,False
2021-07-21,1.504,1.504,1.482,1.493,4566200.0,6782171.0,False
2021-07-22,1.49,1.502,1.49,1.502,3473000.0,5186400.0,False
2021-07-23,1.503,1.509,1.492,1.495,1407600.0,2111077.0,False
2021-07-26,1.495,1.495,1.452,1.462,1244817.0,1821295.0,False
2021-07-27,1.462,1.465,1.421,1.422,986400.0,1436504.0,False
2021-07-28,1.426,1.427,1.402,1.42,1782800.0,2525238.0,False
2021-07-29,1.42,1.426,1.413,1.421,1865000.0,2641539.0,False
