date,open,high,low,close,volume,amount
2026-04-23,7118.7998,7147.7798,7046.5498,7108.3999,3238398913,0
2026-04-24,7136.48,7168.5898,7112.8198,7165.0801,3179035878,0
2026-04-27,7152.7202,7178.7402,7146.7202,7173.9102,3008576531,0
2026-04-28,7133.7402,7152.52,7115.1699,7138.7998,3031611522,0
2026-04-29,7131.6099,7145.6299,7107.8599,7135.9502,3261127760,0
2026-04-30,7161.75,7219.8301,7126.1499,7209.0098,3941277275,0
2026-05-01,7234.54,7272.52,7229.3198,7230.1201,2918281878,0
2026-05-04,7228.3799,7244.54,7174.1201,7200.75,2940319641,0
2026-05-05,7233.6201,7273.2598,7233.6201,7259.2202,3197863227,0
2026-05-06,7294.1401,7369.2202,7294.1401,7365.1201,3841722278,0
2026-05-07,7376.7798,7385.02,7321.25,7337.1099,3549269684,0
2026-05-08,7362.9702,7401.5,7362.9702,7398.9302,3311720011,0
2026-05-11,7385.3101,7428.9702,7384.2002,7412.8398,3378815021,0
2026-05-12,7390.6299,7409.5698,7338.54,7400.96,3217693808,0
2026-05-13,7409.1201,7460.04,7375.1299,7444.25,3261277804,0
